===============================================================================
input file: tfa.dump.20091114.0908 (len = 32767)
timestamp: 2009-11-14 09:00:00 Sat 0
timezone: +0000
unread entries: 1633
buffer overflowed: True
interval: 01 (= 5-minute interval)
flags: [4, 0, 5, 0]
calibration data:
  T0 0000, H0 00
  T1 0000, H1 00
  T2 0000, H2 00
  T3 0000, H3 00
  T4 0000, H4 00
  T5 0003, H5 03
alarms:
  T0 low  60, high 286; H0 low 12, high 70
  T1 low 100, high 300; H1 low 10, high 70
  T2 low 100, high 300; H2 low 10, high 70
  T3 low 100, high 300; H3 low 10, high 70
  T4 low 100, high 300; H4 low 10, high 70
  T5 low 100, high 300; H5 low 10, high 70
sensor ids: b2 ac a4 b6 aa
valid sensors: 1, 2, 3, 4, 5
sensors logged: 5
record len: 20
eof marker at 0x7ffb
-------------------------------------------------------------------------------
interim EOF timestamp encountered at offset 0x30fc (i=622)
natural (final) EOF encountered at offset 0x7ff8 (i=1633)
-------------------------------------------------------------------------------
i|timestamp|T0|H0|T1|H1|T2|H2|T3|H3|T4|H4|T5|H5
1|2009-11-08T17:10:00|21.4|48|8.3|89|20.6|59|17.4|63|20.1|53|20.6|58
2|2009-11-08T17:15:00|21.4|48|8.4|89|20.5|59|17.3|63|20.1|53|20.7|58
3|2009-11-08T17:20:00|21.4|48|8.5|89|20.5|59|17.3|63|20.1|53|20.6|58
4|2009-11-08T17:25:00|21.4|48|8.5|89|20.6|59|17.3|63|20.1|53|20.7|58
5|2009-11-08T17:30:00|21.4|48|8.4|90|20.6|59|17.3|63|20.0|53|20.7|58
6|2009-11-08T17:35:00|21.4|49|8.5|89|20.6|59|17.3|63|20.0|52|20.7|58
7|2009-11-08T17:40:00|21.4|48|8.4|90|20.6|60|17.3|63|19.9|52|20.7|58
8|2009-11-08T17:45:00|21.4|49|8.3|90|20.7|61|17.3|63|19.9|52|20.7|58
9|2009-11-08T17:50:00|21.4|49|8.4|90|20.6|61|17.3|63|19.9|52|20.7|59
10|2009-11-08T17:55:00|21.4|49|8.3|90|20.6|60|17.3|63|19.9|52|20.7|59
11|2009-11-08T18:00:00|21.4|49|8.2|91|20.5|60|17.3|63|19.9|52|20.7|59
12|2009-11-08T18:05:00|21.4|49|8.3|90|20.5|60|17.3|63|19.9|52|20.7|59
13|2009-11-08T18:10:00|21.4|49|8.2|91|20.5|61|17.3|63|19.9|52|20.7|59
14|2009-11-08T18:15:00|21.4|49|8.2|91|20.5|61|17.3|63|19.9|52|20.7|59
15|2009-11-08T18:20:00|21.4|49|8.3|91|20.5|61|17.3|63|19.9|52|20.7|59
16|2009-11-08T18:25:00|21.4|49|8.3|91|20.5|61|17.3|63|19.9|52|20.7|59
17|2009-11-08T18:30:00|21.4|49|8.2|91|20.5|61|17.3|63|19.9|52|20.7|59
18|2009-11-08T18:35:00|21.4|49|8.2|92|20.5|61|17.3|63|19.9|52|20.7|59
19|2009-11-08T18:40:00|21.4|49|8.3|91|20.5|61|17.3|63|19.9|52|20.7|59
20|2009-11-08T18:45:00|21.4|50|8.3|91|20.5|61|17.3|63|19.9|52|20.7|59
21|2009-11-08T18:50:00|21.4|49|8.3|91|20.5|61|17.3|63|19.9|52|20.7|59
22|2009-11-08T18:55:00|21.4|49|8.3|91|20.5|61|17.3|63|19.9|52|20.7|59
23|2009-11-08T19:00:00|21.4|49|8.3|91|20.5|61|17.3|63|19.8|52|20.7|59
24|2009-11-08T19:05:00|21.4|49|8.3|91|20.5|61|17.3|63|19.8|52|20.7|59
25|2009-11-08T19:10:00|21.4|49|8.3|91|20.5|61|17.3|63|19.8|52|20.7|59
26|2009-11-08T19:15:00|21.4|49|8.3|91|20.5|61|17.3|63|19.8|52|20.7|59
27|2009-11-08T19:20:00|21.4|49|8.4|91|20.5|61|17.3|63|19.7|52|20.7|59
28|2009-11-08T19:25:00|21.4|49|8.4|90|20.5|61|17.3|63|19.8|52|20.7|59
29|2009-11-08T19:30:00|21.4|49|8.5|90|20.5|61|17.3|63|19.7|52|20.7|59
30|2009-11-08T19:35:00|21.4|49|8.5|90|20.5|60|17.3|63|19.7|52|20.7|59
31|2009-11-08T19:40:00|21.4|49|8.5|90|20.5|61|17.3|63|19.7|52|20.7|59
32|2009-11-08T19:45:00|21.4|49|8.6|90|20.5|61|17.3|63|19.7|52|20.7|59
33|2009-11-08T19:50:00|21.4|49|8.6|90|20.5|61|17.3|63|19.7|52|20.7|59
34|2009-11-08T19:55:00|21.4|49|8.6|90|20.5|61|17.3|63|19.7|52|20.7|59
35|2009-11-08T20:00:00|21.5|49|8.7|90|20.6|61|17.3|63|19.7|52|20.7|59
36|2009-11-08T20:05:00|21.4|49|8.7|90|20.6|59|17.3|63|19.7|52|20.7|59
37|2009-11-08T20:10:00|21.4|49|8.7|90|20.6|60|17.3|63|19.7|52|20.7|59
38|2009-11-08T20:15:00|21.4|50|8.7|90|20.6|60|17.2|63|19.7|52|20.7|59
39|2009-11-08T20:20:00|21.4|49|8.7|90|20.6|60|17.3|63|19.7|52|20.7|59
40|2009-11-08T20:25:00|21.4|49|8.8|90|20.6|60|17.3|63|19.7|52|20.7|59
41|2009-11-08T20:30:00|21.4|49|8.8|90|20.6|60|17.2|63|19.7|52|20.7|59
42|2009-11-08T20:35:00|21.4|49|8.6|90|20.6|60|17.2|63|19.7|52|20.7|59
43|2009-11-08T20:40:00|21.4|49|8.7|90|20.6|60|17.2|63|19.7|52|20.7|59
44|2009-11-08T20:45:00|21.4|49|8.8|90|20.6|60|17.3|63|19.7|52|20.7|59
45|2009-11-08T20:50:00|21.4|49|8.7|90|20.6|60|17.3|63|19.7|52|20.7|59
46|2009-11-08T20:55:00|21.4|49|8.7|90|20.6|60|17.3|63|19.7|52|20.7|59
47|2009-11-08T21:00:00|21.5|49|8.7|90|20.6|60|17.3|63|19.7|52|20.8|59
48|2009-11-08T21:05:00|21.4|49|8.7|90|20.6|60|17.2|63|19.7|52|20.8|59
49|2009-11-08T21:10:00|21.5|49|8.8|90|20.6|60|17.3|63|19.7|52|20.8|59
50|2009-11-08T21:15:00|21.5|49|8.8|90|20.6|60|17.3|63|19.7|52|20.8|59
51|2009-11-08T21:20:00|21.5|49|8.9|90|20.6|60|17.3|63|19.7|52|20.8|59
52|2009-11-08T21:25:00|21.4|49|8.9|90|20.6|60|17.3|63|19.7|52|20.8|59
53|2009-11-08T21:30:00|21.4|49|8.9|90|20.6|60|17.3|63|19.7|52|20.7|59
54|2009-11-08T21:35:00|21.5|49|8.8|90|20.6|60|17.3|63|19.7|52|20.8|59
55|2009-11-08T21:40:00|21.5|49|8.7|90|20.5|60|17.3|63|19.6|52|20.8|59
56|2009-11-08T21:45:00|21.4|49|8.7|90|20.5|60|17.3|63|19.7|52|20.8|59
57|2009-11-08T21:50:00|21.5|49|8.8|90|20.7|59|17.3|64|19.6|52|20.8|59
58|2009-11-08T21:55:00|21.5|49|8.8|90|20.7|60|17.3|64|19.6|52|20.8|59
59|2009-11-08T22:00:00|21.4|50|8.8|90|20.7|60|17.3|64|19.7|52|20.8|59
60|2009-11-08T22:05:00|21.5|50|8.8|90|20.6|60|17.3|64|19.8|52|20.8|59
61|2009-11-08T22:10:00|21.5|50|8.9|90|20.6|59|17.3|64|20.1|52|21.0|56
62|2009-11-08T22:15:00|21.5|51|9.0|90|20.6|59|17.3|63|20.3|52|21.1|55
63|2009-11-08T22:20:00|21.6|49|8.8|90|20.6|60|17.3|63|20.3|52|21.3|55
64|2009-11-08T22:25:00|21.5|49|8.8|90|20.7|60|17.2|64|20.4|52|21.4|54
65|2009-11-08T22:30:00|21.5|49|8.9|90|20.7|61|17.3|63|20.4|52|21.4|54
66|2009-11-08T22:35:00|21.5|49|8.9|90|20.6|61|17.3|63|20.5|52|21.4|54
67|2009-11-08T22:40:00|21.5|49|8.9|90|20.6|60|17.3|63|20.6|52|21.4|54
68|2009-11-08T22:45:00|21.5|49|8.9|90|20.6|60|17.3|63|20.6|52|21.4|54
69|2009-11-08T22:50:00|21.5|49|9.0|90|20.6|60|17.3|64|20.7|52|21.4|53
70|2009-11-08T22:55:00|21.5|49|8.9|90|20.6|60|17.3|64|20.8|52|21.3|54
71|2009-11-08T23:00:00|21.5|49|9.0|90|20.7|59|17.3|64|20.8|52|21.3|54
72|2009-11-08T23:05:00|21.5|50|9.1|91|20.6|59|17.3|63|21.0|52|21.4|54
73|2009-11-08T23:10:00|21.6|50|9.1|90|20.6|59|17.2|64|21.2|52|21.5|54
74|2009-11-08T23:15:00|21.6|49|9.2|90|20.5|60|17.2|64|21.3|52|21.4|54
75|2009-11-08T23:20:00|21.5|49|8.9|90|20.5|60|17.2|64|21.2|52|21.4|54
76|2009-11-08T23:25:00|21.5|49|8.9|91|20.5|61|17.2|64|21.3|52|21.4|54
77|2009-11-08T23:30:00|21.5|49|8.9|90|20.4|61|17.3|64|21.3|52|21.4|54
78|2009-11-08T23:35:00|21.5|49|9.0|90|20.4|61|17.3|64|21.3|52|21.4|54
79|2009-11-08T23:40:00|21.5|49|9.0|90|20.4|61|17.3|64|21.3|52|21.4|54
80|2009-11-08T23:45:00|21.5|49|9.0|90|20.3|61|17.3|64|21.4|52|21.4|54
81|2009-11-08T23:50:00|21.5|49|8.9|90|20.3|61|17.3|64|21.5|53|21.4|54
82|2009-11-08T23:55:00|21.6|50|8.6|92|20.3|61|17.2|64|21.5|52|21.3|53
83|2009-11-09T00:00:00|21.6|49|8.4|92|20.3|60|17.2|64|21.6|52|21.9|57
84|2009-11-09T00:05:00|21.6|49|8.3|93|20.3|60|17.2|64|21.6|52|21.4|58
85|2009-11-09T00:10:00|21.6|50|8.3|93|20.3|60|17.2|64|21.7|52|21.2|59
86|2009-11-09T00:15:00|21.6|49|8.2|93|20.3|60|17.2|64|21.7|52|21.1|59
87|2009-11-09T00:20:00|21.6|49|8.3|93|20.3|60|17.2|64|21.7|52|21.1|59
88|2009-11-09T00:25:00|21.6|49|8.5|92|20.3|60|17.2|64|21.8|52|21.1|59
89|2009-11-09T00:30:00|21.6|49|8.6|92|20.2|60|17.2|64|21.9|52|21.0|59
90|2009-11-09T00:35:00|21.6|49|8.5|92|20.2|60|17.2|64|22.0|52|21.1|59
91|2009-11-09T00:40:00|21.6|49|8.5|92|20.2|60|17.2|64|22.0|52|21.0|59
92|2009-11-09T00:45:00|21.5|49|8.7|92|20.2|60|17.2|64|22.0|52|21.1|59
93|2009-11-09T00:50:00|21.6|49|8.7|92|20.2|60|17.3|64|22.1|52|21.2|59
94|2009-11-09T00:55:00|21.6|49|8.7|92|20.2|60|17.2|64|22.1|52|21.2|59
95|2009-11-09T01:00:00|21.6|49|8.7|91|20.2|60|17.2|64|22.1|52|21.3|59
96|2009-11-09T01:05:00|21.6|49|8.9|91|20.2|60|17.2|64|22.2|52|21.4|59
97|2009-11-09T01:10:00|21.5|49|8.9|91|20.1|60|17.2|64|22.2|52|21.5|59
98|2009-11-09T01:15:00|21.5|49|8.9|91|20.1|60|17.2|64|22.2|52|21.5|58
99|2009-11-09T01:20:00|21.5|49|9.0|91|20.1|60|17.2|64|22.2|53|21.6|58
100|2009-11-09T01:25:00|21.5|49|9.0|91|20.1|60|17.2|64|22.2|53|21.6|58
101|2009-11-09T01:30:00|21.6|49|9.2|91|20.1|60|17.2|64|22.2|53|21.7|58
102|2009-11-09T01:35:00|21.6|49|9.1|91|20.1|60|17.2|64|22.3|53|21.7|58
103|2009-11-09T01:40:00|21.6|49|9.1|91|20.1|60|17.2|64|22.3|53|21.9|58
104|2009-11-09T01:45:00|21.6|49|9.1|91|20.1|60|17.2|64|22.3|53|21.9|58
105|2009-11-09T01:50:00|21.6|49|9.1|91|20.1|60|17.2|64|22.3|53|22.0|58
106|2009-11-09T01:55:00|21.6|49|9.0|90|20.1|60|17.2|64|22.3|53|22.0|57
107|2009-11-09T02:00:00|21.6|49|9.2|90|20.1|60|17.2|64|22.3|53|22.0|57
108|2009-11-09T02:05:00|21.5|49|9.0|90|20.1|60|17.2|64|22.3|53|22.0|57
109|2009-11-09T02:10:00|21.6|49|9.0|90|20.1|60|17.2|64|22.4|54|22.0|57
110|2009-11-09T02:15:00|21.5|49|9.2|90|20.1|60|17.2|64|22.4|54|22.0|57
